settlement_id	languages	names_ara_common	names_ara_common_other	names_eng_search	names_eng_translit	names_eng_translit_other	region_URI	source	top_type	coordinates
QAHIRA_312E300N_S	['ara', 'eng']	القاهرة	القاهرة	Qahira, Cairo	al-Qāhiraŧ	al-Madīnaŧ al-Qāhiraŧ	Misr_RE	maximromanov	metropoles	[31.2357, 30.0444]
IRBIL_440E361N_S	['ara', 'eng']	إربيل	إربيل	Irbil, Erbil	Irbīl	Irbīl	Aqur_RE	maximromanov	towns	[44.009085, 36.191231]
DANIYA_001E388N_S	['ara', 'eng']	دانية	دانية	Daniya, Dénia	Dāniyaŧ	Dāniyaŧ	Andalus_RE	maximromanov	towns	[0.105056, 38.838799]
WASHQA_003W421N_R	['ara', 'eng']	وشقة	وشقة	Washqa	Wašqaŧ	Wašqaŧ	Andalus_RE	cornuData	regions	[-0.35371, 42.16109]
WASHQA_003W421N_S	['ara', 'eng']	وشقة	وشقة	Washqa	Wašqaŧ	Wašqaŧ	Andalus_RE	cornuData	towns	[-0.35371, 42.16109]
BALANSIYYA_004W394N_R	['ara', 'eng']	بلنسية	بلنسية	Balansiyya	Balansiyyaŧ	Balansiyyaŧ	Andalus_RE	cornuData	regions	[-0.41486, 39.43516]
BALANSIYYA_004W394N_S	['ara', 'eng']	بلنسية	بلنسية	Balansiyya	Balansiyyaŧ	Balansiyyaŧ	Andalus_RE	cornuData	towns	[-0.41486, 39.43516]
SHAQR_004W391N_S	['ara', 'eng']	الشقر	الشقر	al-Shaqr	al-Šaqr	al-Šaqr	Andalus_RE	cornuData	villages	[-0.43734, 39.16483]
QANT_004W383N_S	['ara', 'eng']	قانت	قانت	Qant	Qānt	Qānt	Andalus_RE	cornuData	towns	[-0.47061, 38.34618]
SHATIBA_005W389N_S	['ara', 'eng']	شاتبة	شاتبة	Shatiba	Šātibaŧ	Šātibaŧ	Andalus_RE	cornuData	towns	[-0.52276, 38.96551]
SARAQUSA_009W416N_R	['ara', 'eng']	سرقوسة	سرقوسة، سرقوسطة	Saraqusa, Saraqusta	Saraqūsaŧ	Saraqūsaŧ, Saraqūsṭaŧ	Andalus_RE	cornuData	regions	[-0.9292, 41.63368]
SARAQUSA_009W416N_S	['ara', 'eng']	سرقوسة	سرقوسة، سرقوسطة	Saraqusa, Saraqusta	Saraqūsaŧ	Saraqūsaŧ, Saraqūsṭaŧ	Andalus_RE	cornuData	towns	[-0.9292, 41.63368]
QARTAJANNA_009W376N_S	['ara', 'eng']	قرطاجنة	قرطاجنة	Qartajanna	Qarṭāǧannaŧ	Qarṭāǧannaŧ	Andalus_RE	cornuData	villages	[-0.98315, 37.6005]
NAHRABRUH_009W417N_W	['ara', 'eng']	نهر أبره	نهر أبره	Nahr Abruh	Nahr Abruh	Nahr Abruh	Andalus_RE	cornuData	waters	[-0.99933, 41.7827]
MURSIYA_011W379N_S	['ara', 'eng']	مرسية	مرسية	Mursiya	Mursiyaŧ	Mursiyaŧ	Andalus_RE	cornuData	towns	[-1.11443, 37.99945]
TUDMIR_013W379N_R	['ara', 'eng']	تدمير	تدمير	Tudmir	Tudmīr	Tudmīr	Andalus_RE	cornuData	regions	[-1.34462, 37.95834]
TUTILA_016W420N_R	['ara', 'eng']	تطيلة	تطيلة	Tutila	Tuṭīlaŧ	Tuṭīlaŧ	Andalus_RE	cornuData	regions	[-1.62697, 42.04634]
TUTILA_016W420N_S	['ara', 'eng']	تطيلة	تطيلة	Tutila	Tuṭīlaŧ	Tuṭīlaŧ	Andalus_RE	cornuData	towns	[-1.62697, 42.04634]
LURQA_017W376N_S	['ara', 'eng']	لرقة	لرقة	Lurqa	Lurqaŧ	Lurqaŧ	Andalus_RE	cornuData	towns	[-1.73128, 37.6532]
MADINASALIM_024W411N_S	['ara', 'eng']	مدينة سالم	مدينة سالم	Madina Salim	Madīnaŧ Sālim	Madīnaŧ Sālim	Andalus_RE	cornuData	towns	[-2.41736, 41.13714]
BAJJANA_024W369N_R	['ara', 'eng']	بجانة	بجانة	Bajjana	Baǧǧānaŧ	Baǧǧānaŧ	Andalus_RE	cornuData	regions	[-2.41826, 36.95657]
BAJJANA_024W369N_S	['ara', 'eng']	بجانة	بجانة	Bajjana	Baǧǧānaŧ	Baǧǧānaŧ	Andalus_RE	cornuData	towns	[-2.41826, 36.95657]
MARIYYA_025W368N_S	['ara', 'eng']	المرية	المرية	al-Mariyya	al-Mariyyaŧ	al-Mariyyaŧ	Andalus_RE	cornuData	towns	[-2.50099, 36.86202]
WADIHIJARA_031W406N_R	['ara', 'eng']	وادي الحجارة	وادي الحجارة	Wadi al-Hijara	Wādī al-Ḥijāraŧ	Wādī al-Ḥijāraŧ	Andalus_RE	cornuData	regions	[-3.15111, 40.6491]
WADIHIJARA_031W406N_S	['ara', 'eng']	وادي الحجارة	وادي الحجارة	Wadi al-Hijara	Wādī al-Ḥijāraŧ	Wādī al-Ḥijāraŧ	Andalus_RE	cornuData	towns	[-3.15111, 40.6491]
WADIYASH_031W373N_S	['ara', 'eng']	وادياش	وادياش	Wadiyash	Wādiyāš	Wādiyāš	Andalus_RE	cornuData	towns	[-3.16459, 37.33966]
